Comment,Designator,Footprint,LCSC,Quantity
50nF,Cshld601,C_0805_2012Metric,C107156,1
Zener 3.3V,"D401,D402,D403",D_SOD-123,C108453,3
200k,"R501,R502",R_0805_2012Metric,C114562,2
240,"Rfuel401,Roil401",R_0603_1608Metric,C114613,2
47k,"R402,R403,R503,R504",R_0805_2012Metric,C126351,4
3k,Rwtr401,R_0603_1608Metric,C126358,1
MCP9700Ax-ETT,TEMP401,SOT-23,C127949,1
220uF,Cout301,CP_Elec_6.3x5.9,C139569,1
100k,R506,R_0603_1608Metric,C14675,1
5.1k,"Resp201,Rusb601,Rusb602",R_0603_1608Metric,C14677,3
Conn_01x02_Pin,"Fan601,Indics401,Speed501",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,C163035,3
Conn_01x03_Pin,"TEMP402,gauges401",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,C163036,2
USB4105-GF-A,USBC601,GCT_USB4105-GF-A,C2988369,1
ESP32-S3-WROOM-1U,ESP201,ESP32-S3-WROOM-1U,C3013945,1
SPM6530T 15uH,L301,IND_SPM6530T-150M-HZ,C307809,1
22uF,"C602,Cesp201,Cin303",C_0805_2012Metric,C326578,3
AMS1117-3.3,U601,SOT-223-3_TabPin2,C347222,1
Conn_01x06_Pin,Buttons601,PinHeader_1x06_P2.54mm_Vertical,C37208,1
2N7002-HXY,Qfan601,SOT-23,C4748728,1
Conn_01x08,"SPI601,SPI602,SPI603",JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,C495697,3
220uF,Cin301,CP_Elec_6.3x7.7,C5246541,1
D_Schottky,"D501,D502,D503,D504,D601",SOD-323HE,C5336764,5
SW_SPST,"ESP_BOOT201,ESP_RST201",small_button,C720477,2
MSD-1-A,SD601,CUI_MSD-1-A,C7529389,1
LMV321,U501,SOT65P210X110-5N,C7972,1
10nF,"Cboot301,Cesp202",C_0805_2012Metric,C83170,2
B340A,D301,D_SMA,C85098,1
5.9k,Rfbb301,R_0603_1608Metric,C862231,1
10uF,C601,C_0805_2012Metric,C89831,1
1uF,Cen201,C_0805_2012Metric,C91186,1
10k,"R401,R404,R405,R406,R505,R507,Rboot201,Rbtn601,Rbtn602,Rbtn603,Rfbt301",R_0603_1608Metric,C98220,11
TPS5430DDAR,5V301,CONV_TPS5430DDAR,C9864,1
1.1 polyfuse 2.2A,F301,Fuse_1206_3216Metric,C7542962,1
