Comment,Designator,Footprint,LCSC
ARDUINO_ANLG,J4,PinHeader_1x06_P2.54mm_Vertical,
20k,R1,R_0805_2012Metric,
Conn_01x01_Pin,GND1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,VIN1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
10k,R2,R_0805_2012Metric,
100,R4,R_0805_2012Metric,
Conn_02x20_Odd_Even,J5,PinSocket_2x20_P2.54mm_Vertical,
100,R3,R_0805_2012Metric,
20k,R6,R_0805_2012Metric,
ARDUINO_DIG1,J1,PinHeader_1x10_P2.54mm_Vertical,
ARDUINO_PWR,J3,PinHeader_1x08_P2.54mm_Vertical,
100,R5,R_0805_2012Metric,
ARDUINO_DIG2,J2,PinHeader_1x08_P2.54mm_Vertical,
20k,R7,R_0805_2012Metric,
Conn_01x01_Pin,J17,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,J26,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
470uF 16V,C2,CP_Elec_8x10.5,
Conn_01x01_Pin,J16,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x04_Socket,J12,PinSocket_1x04_P2.54mm_Vertical,
Conn_01x01_Pin,J20,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,FUEL_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
10k,R9,R_0805_2012Metric,
Conn_01x01_Pin,RPM_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
LM2576HVS-5,U1,TO-263-5_TabPin3,
100uF 50V,C1,CP_Elec_8x10.5,
Conn_01x01_Pin,J19,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,OIL_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,TEMP_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,LBLINK_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,J15,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,RBLINK_1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,J23,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
1N5819,D2,D_DO-27_P12.70mm_Horizontal,
Conn_01x01_Pin,J21,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,J24,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x01_Pin,J27,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
3.5A,F2,Fuse_Bourns_MF-SM_7.98x5.44mm,
10k,R8,R_0805_2012Metric,
Conn_01x01_Pin,J25,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
Conn_01x04_Socket,J11,PinSocket_1x04_P2.54mm_Vertical,
100myH,L1,L_12x12mm_H8mm,
Conn_01x01_Pin,J18,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
