Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BCC1,1uF,C_1210_3225Metric,98.12,-38.85,0.0,top
BCC2,22uF6.3V,C_1210_3225Metric,98.12,-43.1,0.0,top
BL_SPI1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,179.0,-54.75,0.0,top
BL_SPI2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,182.75,-54.75,0.0,top
BL_SPI3,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,186.5,-54.75,0.0,top
BOOT0_R1,10K,R_0805_2012Metric,41.53,-58.4,0.0,top
Cin_1,220uF,C_1210_3225Metric,98.12,-47.35,0.0,top
Cout_1,120uF,C_1210_3225Metric,98.12,-51.6,0.0,top
CS_SPI1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,179.0,-43.5,0.0,top
CS_SPI2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,182.75,-43.5,0.0,top
CS_SPI3,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,186.5,-43.5,0.0,top
D1,1N5822,LED_0805_2012Metric,103.19,-38.245,0.0,top
D2,3.3V/5V LED,LED_0805_2012Metric,103.19,-41.285,0.0,top
D3,D,LED_0805_2012Metric,103.19,-44.325,0.0,top
D4,D,LED_0805_2012Metric,103.19,-47.365,0.0,top
DC_SPI1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,179.0,-47.25,0.0,top
DC_SPI2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,182.75,-47.25,0.0,top
DC_SPI3,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,186.5,-47.25,0.0,top
F1,1A,Fuse_1206_3216Metric,75.57,-49.27,0.0,top
Fuel1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,75.09,-36.0,0.0,top
GND_1,Conn_01x01_Pin,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,167.75,-28.5,0.0,top
GND_SPI_1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,179.0,-32.25,0.0,top
GND_SPI_2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,182.75,-32.25,0.0,top
GND_SPI_3,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,186.5,-32.25,0.0,top
