Comment,Designator,Footprint,LCSC
10n,C1,C_0603_1608Metric,
100n,C2,C_0603_1608Metric,
1u,C3,C_0603_1608Metric,
10u,C4,C_0805_2012Metric,
1n,C10,C_0603_1608Metric,
1n,C20,C_0603_1608Metric,
10k,R3,R_1206_3216Metric,
10k,R2,R_1206_3216Metric,
10k,R1,R_1206_3216Metric,
Fiducial,FID1,Fiducial_0.5mm_Mask1mm,
Fiducial,FID2,Fiducial_0.5mm_Mask1mm,
8-pin header,J1,DIP-8_W7.62mm,
1k,R10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
1k,R20,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
MAX9926UAEE+,U1,MAX9926UAEE&plus_,
4.7k,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
4.7k,R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
10k,R12,R_1206_3216Metric,
Edge,J2,PinHeader_1x04_P2.54mm_Vertical,
AMS1117CD-5.0,U2,TO-92_Inline_Wide,
